Year	Mortality
1900	536716
1901	517575
1902	488289
1903	470387
1904	486889
1905	491369
1906	499018
1907	472007
1908	460946
1909	466648
1910	456158
1911	466525
1912	426297
1913	449349
1914	450340
1915	452479
1916	441673
1917	465722
1918	695758
1919	482752
1920	494540
1921	455469
1922	441330
1923	449683
1924	430590
1925	432400
1926	420838
1927	419816
1928	413002
1929	407486
1930	394488
1931	408977
1932	388900
1933	394750
1934	388825
1935	384567
1936	413579
1937	472134
1938	484940
1939	470114
1940	424888
1941	484367
1942	384702
1943	348046
1944	345712
1945	327045
1946	348116
1947	325289
1948	299822
1949	316308
1950	300989
1951	322329
1952	271657
1953	273571
1954	259874
1955	269298
1956	285510
1957	289638
1958	255900
1959	264497
1960	262260
1961	256394
1962	271373
1963	275499
1964	267045
1965	267407
1966	269738
1967	274021
1968	277357
1969	297169
1970	280170
1971	302869
1972	280163
1973	296524
1974	295275
1975	298192
1976	299007
1977	294324
1978	296781
1979	291213
1980	289344
1981	293386
1982	286655
1983	302569
1984	299409
1985	312532
1986	310413
1987	310073
1988	319437
1989	324796
1990	333142
1991	337691
1992	331515
1993	339661
1994	338424
1995	346227
1996	350000
1997	348084
1998	357925
