Year	Mortality
1900	23026
1901	29651
1902	28778
1903	27889
1904	29403
1905	27732
1906	28350
1907	27840
1908	27539
1909	25582
1910	24576
1911	24502
1912	23511
1913	24330
1914	25183
1915	26234
1916	26868
1917	28514
1918	34046
1919	29829
1920	29962
1921	26870
1922	27337
1923	27261
1924	27600
1925	27227
1926	26736
1927	26495
1928	25038
1929	25154
1930	23482
1931	24465
1932	22163
1933	22472
1934	21465
1935	21135
1936	20144
1937	23923
1938	26555
1939	25247
1940	23500
1941	26685
1942	26045
1943	24278
1944	24225
1945	24227
1946	26077
1947	27325
1948	25281
1949	25771
1950	23084
1951	20563
1952	12388
1953	9014
1954	8702
1955	8318
1956	8021
1957	8018
1958	6741
1959	6688
1960	6692
1961	6491
1962	6385
1963	5940
1964	5546
1965	5129
1966	4777
1967	4125
1968	3990
1969	3809
1970	3202
1971	3224
1972	2691
1973	2593
1974	2356
1975	2340
1976	2258
1977	2005
1978	1846
1979	1596
1980	1313
1981	1412
1982	1189
1983	1108
1984	919
1985	909
1986	851
1987	759
1988	784
1989	691
1990	745
1991	654
1992	620
1993	602
1994	487
1995	475
1996	481
1997	420
1998	
1999	
